Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
1,-0.458656,111.361,-1.33382,4052.44,27.0001,5.43744,4.59828,0
2,-0.381879,167.276,-2.47147,11665.4,27.0003,5.43744,4.59828,0
3,-0.304947,180.403,-2.50639,9509.31,27.0006,5.43744,4.59828,0
4,-0.280527,186.817,-2.22119,7665.48,27.0013,5.43744,4.59828,0
5,-0.275158,192.216,-1.97532,6830.51,27.0027,5.43744,4.59828,0
6,-0.288576,197.257,-1.78737,6467.39,27.0055,5.43744,4.59828,0
7,-0.299618,201.743,-1.61506,6257.18,27.0111,5.43744,4.59828,0
8,-0.305848,205.587,-1.44783,6083.96,27.0223,5.43744,4.59828,0
9,-0.308618,208.819,-1.28166,5908.37,27.0444,5.43744,4.59828,0
10,-0.308774,211.506,-1.11591,5718.17,27.0878,5.43744,4.59828,0
11,-0.30668,213.723,-0.950881,5511.83,27.172,1972.39,1.24053e+06,0
12,-0.302949,215.54,-0.787278,5291.94,27.3347,3396.84,2.13699e+06,0
13,-0.298129,217.018,-0.62559,5062.57,27.645,4673.31,2.87265e+06,0
14,-0.29263,218.211,-0.466035,4827.83,28.2199,5836.3,3.53158e+06,0
15,-0.28659,219.16,-0.308621,4591.4,29.244,6907.71,4.15497e+06,0
16,-0.280099,219.903,-0.153226,4356.32,30.9726,7901.99,4.76051e+06,0
17,-0.273234,220.469,0.000315596,4125,33.6762,8829.63,5.35714e+06,0
18,-0.266026,220.884,0.152207,3899.29,37.4305,9698.51,5.94823e+06,0
19,-0.258563,221.168,0.302634,3680.44,41.7266,10515.1,6.5348e+06,0
20,-0.250903,221.338,0.451746,3469.39,45.403,11284.4,7.11676e+06,0
21,-0.24311,221.41,0.599795,3266.81,47.5641,12010.6,7.69381e+06,0
22,-0.235439,221.608,0.743016,3060.58,48.3998,12723.9,8.29574e+06,0
23,-0.227706,221.873,0.883255,2854.7,48.6103,13421.6,8.92317e+06,0
24,-0.220389,222.181,1.02092,2651.99,48.6131,14103.9,9.5752e+06,0
25,-0.212959,222.52,1.15691,2454.66,48.5424,14769.4,1.02504e+07,0
26,-0.205317,222.877,1.2916,2264.1,48.458,15417.9,1.09455e+07,0
27,-0.197557,223.249,1.42541,2081.53,48.3674,16050.2,1.16587e+07,0
28,-0.189662,223.631,1.55907,1907.72,48.2757,16666.7,1.23884e+07,0
29,-0.18184,224.021,1.69279,1742.95,48.1871,17267.3,1.31318e+07,0
30,-0.174057,224.416,1.82643,1587.45,48.101,17852.7,1.38879e+07,0
31,-0.166129,224.814,1.96016,1441.16,48.0203,18422.8,1.4654e+07,0
32,-0.158031,225.214,2.09411,1303.92,47.94,18979,1.54296e+07,0
33,-0.14994,225.613,2.22815,1175.55,47.8639,19521.8,1.62127e+07,0
34,-0.141998,226.01,2.36202,1055.75,47.8003,20052.1,1.70028e+07,0
35,-0.134168,226.405,2.49552,944.24,47.7397,20570.4,1.77986e+07,0
36,-0.12655,226.794,2.62823,840.598,47.681,21076.1,1.85985e+07,0
37,-0.119162,227.176,2.75965,744.467,47.6178,21570.9,1.94032e+07,0
38,-0.112034,227.549,2.88925,655.484,47.5582,22055.8,2.0215e+07,0
39,-0.105326,227.913,3.01685,573.31,47.4972,22531.1,2.10336e+07,0
40,-0.0991824,228.266,3.14182,497.59,47.4972,22999.9,2.18601e+07,0
41,-0.0934234,228.606,3.26352,427.988,47.3607,23462.4,2.26957e+07,0
42,-0.0881238,228.932,3.38154,364.151,47.2972,23918.6,2.35424e+07,0
43,-0.0834272,229.242,3.49533,305.705,47.2342,24371.8,2.44026e+07,0
44,-0.0792695,229.535,3.60418,252.28,47.1708,24821.1,2.52796e+07,0
45,-0.0756383,229.808,3.70741,203.522,47.1104,25270,2.6175e+07,0
46,-0.072762,230.059,3.80451,159.093,47.044,25719.4,2.7094e+07,0
47,-0.0709588,230.286,3.89458,118.648,46.9757,26170.4,2.80355e+07,0
48,-0.0700859,230.486,3.97685,81.8581,46.9116,26624.7,2.90057e+07,0
49,-0.0699926,230.657,4.0506,48.4466,46.8425,27085.1,3.00103e+07,0
50,-0.0708483,230.797,4.11519,18.1389,46.7745,27552,3.10552e+07,0
51,-0.0723678,230.905,4.1701,-9.31735,46.7025,28026.8,3.21404e+07,0
52,-0.0768379,231.579,4.1602,-44.1709,46.5459,28524.9,3.37163e+07,0
53,-0.0812784,232.032,4.13945,-72.8507,46.4242,29036.5,3.55014e+07,0
54,-0.0859122,232.329,4.1068,-96.6434,46.3299,29561.4,3.73604e+07,0
55,-0.091049,232.502,4.06273,-116.545,46.2407,30098,3.92332e+07,0
56,-0.0966393,232.57,4.00637,-133.356,46.1663,30644.9,4.10939e+07,0
57,-0.103132,232.548,3.93739,-147.669,46.0999,31203.8,4.29393e+07,0
58,-0.110347,232.449,3.8565,-159.902,46.0366,31775.7,4.47719e+07,0
59,-0.118262,232.281,3.76281,-170.419,45.9704,32357.4,4.65931e+07,0
60,-0.126486,232.054,3.65762,-179.477,45.9098,32951.9,4.84083e+07,0
61,-0.135382,231.773,3.54087,-187.3,45.8497,33556.7,5.02185e+07,0
62,-0.144847,231.447,3.41357,-194.058,45.7862,34172.6,5.20276e+07,0
63,-0.15483,231.081,3.2751,-199.908,45.7249,34797.9,5.38367e+07,0
64,-0.165421,230.679,3.12671,-204.959,45.6627,35429.7,5.5647e+07,0
65,-0.176651,230.246,2.96848,-209.311,45.6057,36069.5,5.74591e+07,0
66,-0.188565,229.787,2.80125,-213.042,45.5486,36715.9,5.92707e+07,0
67,-0.201105,229.305,2.62505,-216.221,45.4934,37370,6.10842e+07,0
68,-0.214182,228.805,2.44013,-218.907,45.4365,38031,6.28972e+07,0
69,-0.227666,228.29,2.24765,-221.157,45.3839,38700.3,6.47106e+07,0
70,-0.241523,227.762,2.04776,-223.012,45.3316,39375.7,6.65185e+07,0
71,-0.255498,227.227,1.84121,-224.511,45.282,40057.2,6.83242e+07,0
72,-0.26991,226.685,1.6282,-225.699,45.2312,40744.9,7.01205e+07,0
73,-0.284165,226.14,1.40883,-226.614,45.1824,41438.8,7.19098e+07,0
74,-0.298517,225.595,1.18397,-227.275,45.1325,42137.3,7.36889e+07,0
75,-0.312844,225.051,0.953757,-227.72,45.0858,42840.5,7.54578e+07,0
76,-0.32685,224.511,0.718801,-227.974,45.0457,43545.4,7.72071e+07,0
77,-0.340611,223.977,0.4794,-228.048,44.9975,44253.4,7.89447e+07,0
78,-0.353964,223.451,0.235602,-227.976,44.9517,44964.3,8.06636e+07,0
79,-0.36697,222.935,-0.0108345,-227.779,44.9073,45676.5,8.23632e+07,0
80,-0.379601,222.43,-0.259522,-227.446,44.8648,46389,8.40378e+07,0
81,-0.391793,221.938,-0.510456,-227.014,44.8232,47102,8.56895e+07,0
82,-0.403439,221.459,-0.763251,-226.491,44.7846,47812.4,8.7316e+07,0
83,-0.414713,220.996,-1.01752,-225.897,44.748,48519.6,8.89124e+07,0
84,-0.425462,220.548,-1.27348,-225.261,44.7151,49226.2,9.04836e+07,0
85,-0.435645,220.117,-1.53045,-224.576,44.6826,49929.5,9.202e+07,0
86,-0.445448,219.704,-1.78772,-223.85,44.6457,50629.4,9.35258e+07,0
87,-0.454883,219.309,-2.04527,-223.101,44.6122,51324.1,9.49999e+07,0
88,-0.463857,218.932,-2.30285,-222.338,44.583,52014.6,9.64416e+07,0
89,-0.472241,218.575,-2.55978,-221.562,44.5547,52698.7,9.78476e+07,0
