Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
1,-0.0632951,17.1856,-0.200776,753.805,0,0.306245,1.01062,0
2,-0.0296516,26.7547,-0.312883,3931.34,0,0.306245,1.01062,0
3,-50.4839,22.8042,-0.321788,7556.01,0,3.93779,4.05043,0
4,-47.9787,21.1991,-0.30482,3804.04,0,3.93779,4.05043,0
5,2.54393,33.0752,-0.334718,-750.174,0,3.93779,4.05884,0
6,1.0763,33.6797,-0.370948,147.907,0,3.93779,4.05884,0
7,-1.20066,33.7699,-0.346415,514.443,0,3.93779,4.05884,0
8,-1.85906,33.9146,-0.332014,549.189,0,3.93779,4.05884,0
9,-2.06835,33.773,-0.310332,455.095,27,3.93779,4.05884,0
10,-2.11725,33.432,-0.288753,343.255,27.0002,3.93779,4.05884,0
11,-2.20103,199.418,-0.985138,15785.5,27.0003,3248.29,1.40473e+06,0
12,-1.96174,210.32,-0.768104,12432.3,27.0005,4708.32,2.12675e+06,0
13,-1.77592,211.93,-0.635916,9692.95,27.001,5993.65,2.77503e+06,0
14,-1.64061,212.851,-0.534062,7842.68,27.0019,7140.96,3.41271e+06,0
15,-1.5335,213.851,-0.438193,6583.82,27.0037,8171.69,4.04273e+06,0
16,-1.44427,214.879,-0.341997,5690.25,27.0073,9107.66,4.66306e+06,0
17,-1.36779,215.842,-0.243015,5025.2,27.0143,9966.95,5.27319e+06,0
18,-1.30064,216.689,-0.139786,4507.92,27.0284,10763,5.87264e+06,0
19,-1.24066,217.398,-0.0318375,4089.88,27.0566,11505.5,6.46297e+06,0
20,-1.18629,217.967,0.0806436,3741.12,27.1126,12202.5,7.04403e+06,0
