Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
1,-0.781654,7.71888,1.93669,-22737.8,27.1129,12211.4,7.04292e+06,0
2,-0.685144,9.0506,1.87146,-11270.6,27.1134,12211.4,7.04292e+06,0
3,-0.701048,11.751,1.86641,-5606.75,27.114,12211.4,7.04292e+06,0
4,-0.726524,14.0412,1.89583,-2934.95,27.115,12211.4,7.04292e+06,0
5,-0.734702,15.8262,1.94544,-1635.97,27.1166,12211.4,7.04292e+06,0
6,-0.724126,17.1655,2.01568,-984.845,27.1194,12211.4,7.04292e+06,0
7,-0.702872,18.1703,2.09152,-648.074,27.125,12211.4,7.04292e+06,0
8,-0.678269,18.9354,2.16461,-468.23,27.1359,12211.4,7.04292e+06,0
9,-0.654772,19.5251,2.23138,-368.227,27.1576,12211.4,7.04292e+06,0
10,-0.633271,19.9809,2.29076,-310.189,27.2008,12211.4,7.04292e+06,0
11,-0.614265,20.3367,2.34252,-273.244,27.2876,11971.2,6.18237e+06,0
12,-0.598423,20.619,2.38795,-246.56,27.4546,11743,5.64445e+06,0
13,-0.585891,20.8485,2.42842,-224.428,27.7884,11516.6,5.27328e+06,0
14,-0.576344,21.04,2.4648,-204.32,28.4369,11290.9,4.99246e+06,0
15,-0.56942,21.2041,2.49781,-185.01,29.6616,11066.6,4.76522e+06,0
16,-0.564636,21.348,2.52742,-166.193,31.8699,10844.3,4.57186e+06,0
17,-0.561614,21.4767,2.55382,-147.901,35.5707,10625.2,4.40132e+06,0
18,-0.559958,21.5938,2.5772,-130.348,41.0908,10409.1,4.24701e+06,0
19,-0.559423,21.7019,2.59766,-113.771,47.8753,10195.8,4.1046e+06,0
20,-0.559787,21.8037,2.61523,-98.3224,53.9719,9984.71,3.97106e+06,0
21,-0.560795,21.901,2.62989,-84.0956,57.4163,9775.73,3.8443e+06,0
22,-0.562916,21.9955,2.64298,-71.6893,58.3786,9585.18,3.7289e+06,0
23,-0.565862,22.0892,2.65464,-60.7933,58.3071,9409.61,3.62324e+06,0
24,-0.569385,22.1849,2.66497,-51.2166,58.07,9246.03,3.52548e+06,0
25,-0.573368,22.2853,2.67402,-42.7887,57.8642,9092.63,3.43417e+06,0
26,-0.577737,22.3928,2.68196,-35.3913,57.69,8947.02,3.34814e+06,0
27,-0.582479,22.5091,2.68893,-28.9152,57.5505,8808.23,3.26651e+06,0
28,-0.587574,22.6357,2.6951,-23.2529,57.4351,8675.03,3.1886e+06,0
29,-0.593006,22.7733,2.70055,-18.2946,57.3278,8546.13,3.11397e+06,0
30,-0.598809,22.9228,2.70536,-13.9541,57.2355,8421.02,3.04239e+06,0
31,-0.604978,23.0844,2.70967,-10.145,57.1592,8299.39,2.97354e+06,0
32,-0.61152,23.2583,2.71355,-6.78814,57.0829,8180.14,2.90712e+06,0
33,-0.618481,23.4444,2.71712,-3.82109,57.0111,8063.55,2.8432e+06,0
34,-0.625828,23.6422,2.72043,-1.1783,56.9462,7949.26,2.78165e+06,0
35,-0.633556,23.8515,2.72347,1.19679,56.8731,7836.83,2.72281e+06,0
36,-0.641729,24.0719,2.72625,3.3427,56.8011,7725.9,2.66634e+06,0
37,-0.65025,24.3026,2.72874,5.28559,56.7435,7616.71,2.61238e+06,0
38,-0.659091,24.5428,2.7309,7.05615,56.673,7509,2.56109e+06,0
39,-0.668242,24.792,2.73268,8.67055,56.6156,7403.07,2.51231e+06,0
40,-0.677679,25.0493,2.73407,10.1526,56.5573,7298.62,2.46618e+06,0
41,-0.687369,25.3141,2.73498,11.5154,56.4998,7195.41,2.4227e+06,0
42,-0.69729,25.5857,2.73534,12.7706,56.4398,7093.81,2.38196e+06,0
43,-0.707389,25.8632,2.73505,13.9265,56.3758,6993.42,2.34389e+06,0
44,-0.717671,26.1458,2.734,14.9898,56.3201,6894.6,2.30871e+06,0
45,-0.72811,26.4329,2.73206,15.9645,56.2714,6797.36,2.27605e+06,0
46,-0.738687,26.7236,2.72916,16.8545,56.2189,6701.34,2.24581e+06,0
47,-0.749348,27.0173,2.72514,17.6608,56.1839,6607.02,2.21812e+06,0
48,-0.760088,27.3133,2.71993,18.387,56.138,6514,2.19312e+06,0
49,-0.770871,27.6109,2.71345,19.0344,56.1105,6422.82,2.17031e+06,0
50,-0.781674,27.9096,2.70559,19.6028,56.0764,6333.06,2.15002e+06,0
51,-0.792472,28.2088,2.69631,20.0949,56.0583,6245.24,2.13204e+06,0
52,-0.809777,28.5671,2.69533,19.1225,56.0232,6163.28,2.14705e+06,0
53,-0.825593,28.9132,2.69046,18.7485,55.9959,6084.58,2.17442e+06,0
54,-0.840279,29.2504,2.68212,18.7081,55.9832,6007.92,2.20458e+06,0
55,-0.854009,29.5801,2.6706,18.8363,55.9822,5932.42,2.23335e+06,0
56,-0.86693,29.9027,2.65618,19.0342,55.9923,5858.2,2.25919e+06,0
57,-0.879091,30.2186,2.63903,19.2422,56.0177,5785.06,2.28192e+06,0
58,-0.890547,30.528,2.61931,19.426,56.0177,5712.9,2.30156e+06,0
59,-0.901349,30.8313,2.59719,19.5674,56.08,5642.18,2.31837e+06,0
60,-0.911512,31.1286,2.57283,19.6583,56.1216,5572.76,2.3327e+06,0
61,-0.921049,31.4201,2.54639,19.6964,56.1615,5504.5,2.34484e+06,0
62,-0.929975,31.706,2.51801,19.682,56.2087,5437.51,2.3551e+06,0
63,-0.938291,31.9865,2.48786,19.6178,56.253,5371.99,2.3637e+06,0
64,-0.946,32.2615,2.4561,19.5068,56.2989,5307.46,2.37086e+06,0
65,-0.953098,32.5313,2.42291,19.3515,56.3489,5244.02,2.37665e+06,0
66,-0.959566,32.7958,2.38844,19.1559,56.3988,5182.05,2.38135e+06,0
67,-0.965387,33.0552,2.35289,18.9241,56.4448,5120.86,2.38521e+06,0
68,-0.970567,33.3095,2.31641,18.6602,56.4959,5061.05,2.38836e+06,0
69,-0.975089,33.559,2.27919,18.3683,56.5464,5002.28,2.39079e+06,0
70,-0.97895,33.8036,2.24139,18.0521,56.598,4944.64,2.3926e+06,0
71,-0.982153,34.0433,2.20316,17.7147,56.6533,4888.04,2.39388e+06,0
72,-0.984687,34.2784,2.16467,17.3589,56.7098,4832.87,2.39467e+06,0
73,-0.986553,34.5088,2.12605,16.9876,56.7636,4778.42,2.39506e+06,0
74,-0.987741,34.7346,2.0874,16.6035,56.8212,4725.06,2.39505e+06,0
75,-0.988269,34.956,2.0488,16.2089,56.8803,4672.97,2.39473e+06,0
76,-0.988162,35.1729,2.01041,15.8062,56.9345,4621.89,2.39411e+06,0
77,-0.987432,35.3854,1.97229,15.3971,56.9926,4571.87,2.39326e+06,0
78,-0.986108,35.5936,1.93453,14.9834,57.0533,4522.85,2.39221e+06,0
79,-0.984197,35.7977,1.89723,14.5667,57.1145,4474.82,2.39102e+06,0
80,-0.981727,35.9976,1.8604,14.1481,57.1756,4427.93,2.38972e+06,0
81,-0.978734,36.1933,1.82412,13.729,57.2352,4382.12,2.38833e+06,0
82,-0.97524,36.385,1.78842,13.3105,57.2958,4337.2,2.38687e+06,0
83,-0.971267,36.5727,1.75337,12.8938,57.3576,4293.18,2.38536e+06,0
84,-0.966841,36.7564,1.71897,12.4798,57.4163,4250.58,2.38381e+06,0
85,-0.961979,36.9362,1.68525,12.0693,57.4791,4208.81,2.38221e+06,0
86,-0.956719,37.1121,1.6522,11.6629,57.5422,4167.94,2.3806e+06,0
87,-0.95108,37.2842,1.61985,11.2615,57.6059,4128.13,2.37897e+06,0
88,-0.945104,37.4526,1.58824,10.8655,57.6689,4089.08,2.37733e+06,0
